"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10,1,0,1.9,0.5,0.25
-10,1,0.00020003,1.9002,0.5,0.25
-10,1,0.00040007,1.9004,0.5,0.25
-10,1,0.00059998,1.9006,0.5,0.25
-10,1,0.00080001,1.9008,0.5,0.25
-10,1,0.001,1.901,0.5,0.25
-10,1,0.0012001,1.9012,0.5,0.25
-10,1,0.0014,1.9014,0.5,0.25
-10,1,0.0016,1.9016,0.5,0.25
-10,1,0.0018001,1.9018,0.5,0.25
-10,1,0.002,1.902,0.5,0.25
-10,1,0.0022,1.9022,0.5,0.25
-10,1,0.0024,1.9024,0.5,0.25
-10,1,0.0026001,1.9026,0.5,0.25
-10,1,0.0028,1.9028,0.5,0.25
-10,1,0.003,1.903,0.5,0.25
-10,1,0.0032001,1.9032,0.5,0.25
-10,1,0.0034,1.9034,0.5,0.25
-10,1,0.0036,1.9036,0.5,0.25
-10,1,0.0038,1.9038,0.5,0.25
-10,1,0.0040001,1.904,0.5,0.25
-10,1,0.0042,1.9042,0.5,0.25
-10,1,0.0044,1.9044,0.5,0.25
-10,1,0.0046,1.9046,0.5,0.25
-10,1,0.0048001,1.9048,0.5,0.25
-10,1,0.005,1.905,0.5,0.25
-10,1,0.0052,1.9052,0.5,0.25
-10,1,0.0054001,1.9054,0.5,0.25
-10,1,0.0056,1.9056,0.5,0.25
-10,1,0.0058,1.9058,0.5,0.25
-10,1,0.006,1.906,0.5,0.25
-10,1,0.0062001,1.9062,0.5,0.25
-10,1,0.0064,1.9064,0.5,0.25
-10,1,0.0066,1.9066,0.5,0.25
-10,1,0.0068001,1.9068,0.5,0.25
-10,1,0.007,1.907,0.5,0.25
-10,1,0.0072,1.9072,0.5,0.25
-10,1,0.0074,1.9074,0.5,0.25
-10,1,0.0076001,1.9076,0.5,0.25
-10,1,0.0078,1.9078,0.5,0.25
-10,1,0.008,1.908,0.5,0.25
-10,1,0.0082,1.9082,0.5,0.25
-10,1,0.0084001,1.9084,0.5,0.25
-10,1,0.0086,1.9086,0.5,0.25
-10,1,0.0088,1.9088,0.5,0.25
-10,1,0.0090001,1.909,0.5,0.25
-10,1,0.0092,1.9092,0.5,0.25
-10,1,0.0094,1.9094,0.5,0.25
-10,1,0.0096,1.9096,0.5,0.25
-10,1,0.0098001,1.9098,0.5,0.25
-10,1,0.01,1.91,0.5,0.25
-10,1,0.0102,1.9102,0.5,0.25
-10,1,0.0104,1.9104,0.5,0.25
-10,1,0.0106,1.9106,0.5,0.25
-10,1,0.0108,1.9108,0.5,0.25
-10,1,0.011,1.911,0.5,0.25
-10,1,0.0112,1.9112,0.5,0.25
-10,1,0.0114,1.9114,0.5,0.25
-10,1,0.0116,1.9116,0.5,0.25
-10,1,0.0118,1.9118,0.5,0.25
-10,1,0.012,1.912,0.5,0.25
-10,1,0.0122,1.9122,0.5,0.25
-10,1,0.0124,1.9124,0.5,0.25
-10,1,0.0126,1.9126,0.5,0.25
-10,1,0.0128,1.9128,0.5,0.25
-10,1,0.013,1.913,0.5,0.25
-10,1,0.0132,1.9132,0.5,0.25
-10,1,0.0134,1.9134,0.5,0.25
-10,1,0.0136,1.9136,0.5,0.25
-10,1,0.0138,1.9138,0.5,0.25
-10,1,0.014,1.914,0.5,0.25
-10,1,0.0142,1.9142,0.5,0.25
-10,1,0.0144,1.9144,0.5,0.25
-10,1,0.0146,1.9146,0.5,0.25
-10,1,0.0148,1.9148,0.5,0.25
-10,1,0.015,1.915,0.5,0.25
-10,1,0.0152,1.9152,0.5,0.25
-10,1,0.0154,1.9154,0.5,0.25
-10,1,0.0156,1.9156,0.5,0.25
-10,1,0.0158,1.9158,0.5,0.25
-10,1,0.016,1.916,0.5,0.25
-10,1,0.0162,1.9162,0.5,0.25
-10,1,0.0164,1.9164,0.5,0.25
-10,1,0.0166,1.9166,0.5,0.25
-10,1,0.0168,1.9168,0.5,0.25
-10,1,0.017,1.917,0.5,0.25
-10,1,0.0172,1.9172,0.5,0.25
-10,1,0.0174,1.9174,0.5,0.25
-10,1,0.0176,1.9176,0.5,0.25
-10,1,0.0178,1.9178,0.5,0.25
-10,1,0.018,1.918,0.5,0.25
-10,1,0.0182,1.9182,0.5,0.25
-10,1,0.0184,1.9184,0.5,0.25
-10,1,0.0186,1.9186,0.5,0.25
-10,1,0.0188,1.9188,0.5,0.25
-10,1,0.019,1.919,0.5,0.25
-10,1,0.0192,1.9192,0.5,0.25
-10,1,0.0194,1.9194,0.5,0.25
-10,1,0.0196,1.9196,0.5,0.25
-10,1,0.0198,1.9198,0.5,0.25
-10,1,0.02,1.92,0.5,0.25
-10,1,0.0202,1.9202,0.5,0.25
-10,1,0.0204,1.9204,0.5,0.25
-10,1,0.0206,1.9206,0.5,0.25
-10,1,0.0208,1.9208,0.5,0.25
-10,1,0.021,1.921,0.5,0.25
-10,1,0.0212,1.9212,0.5,0.25
-10,1,0.0214,1.9214,0.5,0.25
-10,1,0.0216,1.9216,0.5,0.25
-10,1,0.0218,1.9218,0.5,0.25
-10,1,0.022,1.922,0.5,0.25
-10,1,0.0222,1.9222,0.5,0.25
-10,1,0.0224,1.9224,0.5,0.25
-10,1,0.0226,1.9226,0.5,0.25
-10,1,0.0228,1.9228,0.5,0.25
-10,1,0.023,1.923,0.5,0.25
-10,1,0.0232,1.9232,0.5,0.25
-10,1,0.0234,1.9234,0.5,0.25
-10,1,0.0236,1.9236,0.5,0.25
-10,1,0.0238,1.9238,0.5,0.25
-10,1,0.024,1.924,0.5,0.25
-10,1,0.0242,1.9242,0.5,0.25
-10,1,0.0244,1.9244,0.5,0.25
-10,1,0.0246,1.9246,0.5,0.25
-10,1,0.0248,1.9248,0.5,0.25
-10,1,0.025,1.925,0.5,0.25
